Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
TXN00000015,2025-05-13 22:41:27,Margaret Knight,Carrots,1,14.56,Cash,Los Angeles,Warehouse Club,No,Premium,Spring,None
TXN00000016,2026-02-02 04:48:02,Allison Floyd,"Coffee, Tomatoes",2,15.14,Debit Card,San Antonio,Department Store,No,Regular,Winter,None
TXN00000017,2025-05-14 12:54:45,Andrew Jacobs,"Tortillas, Flour, Toothpaste, Yogurt, Pet Food, Cereal, Sugar, Frozen Pizza, Shrimp, Jam",10,74.47,Mobile Payment,New York,Convenience Store,Yes,Premium,Spring,Loyalty Reward
TXN00000018,2025-12-28 01:34:44,Crystal Mann,"Honey, Tea, Shrimp, BBQ Sauce, Canned Beans, Oranges, Mustard",7,46.32,Credit Card,Dallas,Supermarket,Yes,Premium,Winter,Seasonal Offer
TXN00000019,2024-11-06 15:45:05,Brian Stokes,"Canned Soup, Pet Food, Eggs, Peanut Butter, BBQ Sauce",5,81.62,Mobile Payment,Atlanta,Supermarket,No,Regular,Fall,None
TXN00000020,2025-02-18 11:56:07,Elizabeth Sharp,"Sugar, Oranges, Tea, Cheese, BBQ Sauce",5,72.26,Mobile Payment,Portland,Convenience Store,Yes,Regular,Winter,None
TXN00000021,2025-04-12 15:08:27,Janet Graves,"Baby Formula, Chips, Chocolate, Butter, Mayonnaise, Onions, Paper Towels, Coffee, Cereal Bars, Olive Oil",10,91.1,Mobile Payment,Austin,Warehouse Club,Yes,New,Spring,Percentage Discount
TXN00000022,2024-11-01 07:56:13,Sylvia Dalton,"Mayonnaise, Canned Soup, Sugar, Rice, Ketchup, Beer, Dish Soap, Wine, Paper Towels",9,103.0,Credit Card,Portland,Supermarket,Yes,Premium,Fall,Seasonal Offer
TXN00000023,2025-12-12 00:51:49,James Griffith,Laundry Detergent,1,16.77,Mobile Payment,San Jose,Supermarket,Yes,Premium,Winter,Seasonal Offer
TXN00000024,2024-10-18 17:06:09,Jill Conway,"Baby Formula, Bottled Water, Milk, Ground Beef, Soda",5,52.36,Cash,San Diego,Supermarket,No,VIP,Fall,None
TXN00000025,2026-01-17 14:46:23,Kimberly Santos,"Bottled Water, Pasta, Cooking Oil, Butter, Onions, Milk, Ketchup",7,86.89,Credit Card,San Jose,Supermarket,Yes,Premium,Winter,Seasonal Offer
TXN00000026,2025-10-04 13:23:07,Calvin Bowers,"Salsa, Rice, Tomatoes, Laundry Detergent, Chips",5,89.72,Debit Card,Phoenix,Online,No,Premium,Fall,None
TXN00000027,2026-04-06 03:14:28,Andrew Moreno,"Paper Towels, Onions, Ground Beef, Milk, Pet Food, Mayonnaise, Toothpaste, Jam, Pasta, Yogurt",10,147.38,Debit Card,Charlotte,Convenience Store,No,Regular,Spring,None
TXN00000028,2025-10-17 23:26:24,Debra Chapman,"Butter, Ketchup, Vinegar, Toilet Paper, Paper Towels, Honey, Eggs",7,99.82,Mobile Payment,New York,Warehouse Club,No,Regular,Fall,None
TXN00000029,2025-09-11 05:27:39,Michael Bolton,Chips,1,12.62,Debit Card,San Jose,Convenience Store,No,Occasional,Fall,None
TXN00000030,2025-01-01 05:57:13,Ashley Miller,"Chips, Cooking Oil, Baby Formula, Honey, Eggs",5,86.26,Credit Card,Portland,Supermarket,No,Premium,Winter,None
TXN00000031,2025-12-07 22:13:41,Daniel Kennedy,"Bottled Water, Paper Towels, Cereal Bars, Soda, Peanut Butter, Wine",6,61.28,Cash,San Diego,Supermarket,Yes,Premium,Winter,None
TXN00000032,2025-08-27 06:26:04,Natalie Stanley,"Salsa, Bread, Lettuce, Pasta, Jam, Bananas",6,94.36,Credit Card,Charlotte,Supermarket,No,Regular,Summer,None
TXN00000033,2026-01-23 14:00:11,Cory Hogan,"Energy Drink, Shampoo, Sausages, Carrots",4,38.54,Mobile Payment,Philadelphia,Department Store,Yes,New,Winter,Seasonal Offer
TXN00000034,2025-09-14 17:11:52,Brian Porter MD,"Chocolate, Canned Soup, Cereal, Potatoes, Canned Beans",5,61.67,Mobile Payment,Atlanta,Supermarket,No,VIP,Fall,None
TXN00000035,2026-01-19 01:34:40,Joshua Hayes,"Ground Beef, Beer, Olive Oil, Jam, Chicken Breast, Rice, Bacon, Cooking Oil",8,104.24,Credit Card,San Diego,Department Store,Yes,Premium,Winter,None
TXN00000036,2025-12-08 19:58:18,Margaret Miller,"Energy Drink, Olive Oil, Flour, Dish Soap, Cooking Oil, Bread",6,57.91,Mobile Payment,Portland,Convenience Store,No,New,Winter,None
TXN00000037,2025-01-11 04:14:50,Daniel Davenport,Chocolate,1,15.69,Mobile Payment,Denver,Convenience Store,No,New,Winter,None
TXN00000038,2025-12-13 02:57:02,Phyllis Schmidt,"Pasta, Sugar, Cereal, Butter, Milk",5,52.57,Debit Card,Dallas,Warehouse Club,Yes,Regular,Winter,None
TXN00000039,2026-08-31 11:51:05,Juan Parker,"Toilet Paper, Tomatoes, Apples, Tea, Paper Towels, Jam, Canned Beans",7,84.56,Mobile Payment,San Antonio,Convenience Store,No,Occasional,Summer,None
TXN00000040,2026-03-05 13:49:15,Donald Wallace,"Cheese, Lettuce, Jam, Chocolate, Salsa, Ice Cream, Olive Oil, Toothpaste",8,77.64,Debit Card,San Diego,Warehouse Club,No,Regular,Spring,Loyalty Reward
TXN00000041,2025-05-16 19:49:15,Timothy Bauer,"Ground Beef, Cereal, Diapers, Apples",4,55.41,Cash,Nashville,Warehouse Club,No,Regular,Spring,None
TXN00000042,2025-08-23 07:37:51,David Robertson,"Tomatoes, Onions",2,31.6,Cash,San Antonio,Convenience Store,Yes,New,Summer,Clearance
TXN00000043,2026-08-08 00:06:38,Natalie Burns,"Apples, Orange Juice, Bottled Water, Lettuce",4,36.68,Debit Card,San Diego,Supermarket,Yes,Occasional,Summer,Percentage Discount
TXN00000044,2025-02-03 09:30:37,Jasmine Beltran,"Ketchup, Cereal, Ice Cream, Shampoo, Shrimp, Chocolate",6,94.84,Credit Card,Portland,Supermarket,No,Premium,Winter,None
TXN00000045,2026-05-23 10:55:57,Jessica Little,"Beer, Toilet Paper, Dish Soap, Tea, Ketchup, Baby Formula",6,64.45,Debit Card,New York,Supermarket,Yes,Regular,Spring,None
TXN00000046,2025-03-24 03:51:10,Rodney Stewart,"BBQ Sauce, Pasta, Soda, Shampoo, Toothpaste, Lettuce",6,99.18,Credit Card,San Antonio,Online,No,Regular,Spring,None
TXN00000047,2025-12-01 22:33:33,Charles Baker,Beer,1,20.09,Mobile Payment,Atlanta,Supermarket,No,Regular,Winter,None
TXN00000048,2026-05-08 03:53:22,Travis Hughes,"Salsa, Oranges, Potatoes, Chicken Breast, Orange Juice, Mayonnaise, Bread",7,101.75,Credit Card,Portland,Convenience Store,Yes,Regular,Spring,BOGO
TXN00000049,2025-09-15 22:30:03,Robert Jackson,"Dish Soap, Rice, Frozen Pizza, Laundry Detergent, Bread, Chips, Pasta",7,98.94,Cash,Philadelphia,Convenience Store,No,Occasional,Fall,None
TXN00000050,2026-08-18 14:20:38,Ryan Walker,"Cooking Oil, Granola, Salmon, Eggs, Peanut Butter",5,89.06,Credit Card,Charlotte,Convenience Store,No,Premium,Summer,Percentage Discount
TXN00000051,2026-08-30 20:22:11,Joan Wilson,"Honey, Bottled Water, Mustard, Ketchup",4,47.39,Mobile Payment,Los Angeles,Convenience Store,No,New,Summer,None
TXN00000052,2026-08-21 08:07:27,Robert Young,"Diapers, Apples, Bottled Water",3,23.55,Debit Card,Atlanta,Supermarket,Yes,Regular,Summer,Percentage Discount
TXN00000053,2026-07-19 22:38:48,Kimberly Mcintyre,"Cereal Bars, Pet Food, Shrimp, Potatoes, Olive Oil, Diapers, Soap, Eggs",8,62.6,Cash,Chicago,Convenience Store,Yes,Regular,Summer,Percentage Discount
TXN00000054,2024-10-08 02:33:08,Susan Figueroa,"Carrots, Milk, Toilet Paper, Tomatoes, Ketchup, Bacon, Granola, Olive Oil",8,65.02,Mobile Payment,Portland,Online,Yes,Occasional,Fall,None
TXN00000055,2026-07-27 17:53:54,Kathryn Mendez,"Lettuce, Eggs, Salmon",3,28.73,Debit Card,Nashville,Convenience Store,Yes,Regular,Summer,None
TXN00000056,2025-11-03 04:24:38,David Sullivan,"Lettuce, Butter, Salmon, Yogurt, Shampoo",5,67.78,Credit Card,Denver,Convenience Store,No,Regular,Fall,None
TXN00000057,2026-08-20 13:41:40,Melanie Baker,"Bread, Butter, Rice, Salmon, Bottled Water, Cheese, Cereal Bars, Cereal",8,95.89,Cash,Houston,Supermarket,No,Occasional,Summer,None
TXN00000058,2026-06-18 04:42:48,Brandon Kelly,"Apples, Mustard, Butter, Cooking Oil, BBQ Sauce, Shampoo, Chocolate, Ketchup, Dish Soap, Vinegar",10,111.81,Credit Card,Nashville,Supermarket,No,Premium,Summer,None
TXN00000059,2025-01-14 20:10:14,Cody Woods,"Cheese, BBQ Sauce, Soap, Sausages, Chips, Peanut Butter, Energy Drink, Baby Formula, Salmon, Honey",10,132.09,Mobile Payment,Columbus,Department Store,No,Regular,Winter,None
TXN00000060,2026-07-01 09:42:41,Anthony Werner,"Butter, Diapers, Eggs, Tortillas, BBQ Sauce, Flour",6,78.99,Debit Card,Houston,Convenience Store,No,Premium,Summer,None
TXN00000061,2026-03-29 23:28:03,Darin Baker,"Apples, Honey",2,44.04,Debit Card,San Jose,Supermarket,No,Regular,Spring,None
TXN00000062,2025-05-01 17:24:40,Connor Benton,Wine,1,9.34,Mobile Payment,Philadelphia,Supermarket,Yes,Premium,Spring,Clearance
TXN00000063,2026-05-24 17:28:27,Daniel Martinez,"Salsa, Soda, Chicken Breast, Bottled Water, BBQ Sauce, Ketchup, Sugar",7,47.75,Credit Card,Jacksonville,Supermarket,Yes,Regular,Spring,Percentage Discount
TXN00000064,2024-10-19 04:22:37,Heather Matthews,"Mustard, Eggs",2,47.98,Cash,Atlanta,Online,No,Premium,Fall,BOGO
TXN00000065,2026-04-05 18:41:53,Theresa Knight,"Orange Juice, Jam, Bananas, Ice Cream, Cooking Oil, Canned Soup, Pet Food, Diapers, Sugar, Granola",10,168.05,Mobile Payment,San Jose,Supermarket,No,Occasional,Spring,BOGO
TXN00000066,2026-02-09 19:22:33,Russell Murphy,"Frozen Pizza, Toilet Paper, Peanut Butter, Mayonnaise, Salmon, Oranges, Canned Beans, Chocolate, Cereal Bars, Bread",10,120.86,Credit Card,Columbus,Supermarket,No,Occasional,Winter,None
TXN00000067,2025-09-29 16:42:48,Diana Hawkins,"Granola, Pet Food, Jam, Orange Juice",4,54.73,Debit Card,Portland,Convenience Store,No,Regular,Fall,None
TXN00000068,2024-09-26 23:08:09,Crystal Collins,"Yogurt, Mayonnaise, Bananas, Rice, Apples, Granola",6,82.92,Credit Card,Denver,Warehouse Club,No,New,Fall,None
TXN00000069,2025-03-23 23:16:04,Teresa Cohen,"Apples, Shrimp, Pet Food, Bacon, Diapers, Butter, Mayonnaise",7,118.84,Cash,San Jose,Supermarket,No,VIP,Spring,None
TXN00000070,2026-05-06 16:08:33,Holly Floyd,"Pet Food, Lettuce, Salmon, Cheese, Diapers, Sugar, Cereal Bars",7,77.68,Credit Card,Houston,Convenience Store,No,Occasional,Spring,None
TXN00000071,2026-05-17 07:42:11,Melissa Smith,"Tortillas, Rice, Bananas, Beer, Potatoes, Tomatoes, Soap",7,105.86,Debit Card,Chicago,Supermarket,No,Occasional,Spring,Percentage Discount
TXN00000072,2025-08-06 14:19:07,Keith Johnson,"Milk, BBQ Sauce, Flour, Apples",4,70.33,Gift Card,Atlanta,Supermarket,Yes,New,Summer,Percentage Discount
TXN00000073,2025-01-19 20:32:46,Richard Medina,"Lettuce, Toilet Paper, Peanut Butter, Bottled Water, Ketchup, Chicken Breast, Chips, Coffee, Ground Beef, Toothpaste",10,119.03,Credit Card,Jacksonville,Supermarket,Yes,New,Winter,Seasonal Offer
TXN00000074,2026-03-30 03:02:19,Cody Reyes III,"Paper Towels, Potatoes, Baby Formula, Milk, Jam, Salmon, Cereal, Pasta, Bottled Water, Yogurt",10,94.63,Debit Card,Columbus,Convenience Store,No,Regular,Spring,None
TXN00000075,2026-06-01 11:49:26,Justin Carter,"Carrots, Jam, Vinegar, Lettuce, Bananas, Tortillas",6,76.21,Cash,Houston,Supermarket,No,Premium,Summer,Percentage Discount
TXN00000076,2024-10-10 21:39:55,Tiffany Sanchez,"Beer, Bottled Water, Salsa",3,42.54,Cash,Philadelphia,Department Store,No,New,Fall,Seasonal Offer
TXN00000077,2026-02-28 23:10:52,Alexander Shelton,"Chicken Breast, Sugar, Bananas, Chocolate, Rice, Energy Drink, Jam, Carrots",8,97.22,Credit Card,Nashville,Online,Yes,Premium,Winter,Seasonal Offer
TXN00000078,2025-05-20 00:38:31,Colton Martinez,BBQ Sauce,1,17.33,Debit Card,Denver,Online,No,Regular,Spring,None
TXN00000079,2025-02-13 00:24:14,Anthony Moore,"Laundry Detergent, Tea, Rice, Bread, Dish Soap, Apples, Oranges, Frozen Pizza",8,77.19,Debit Card,Chicago,Supermarket,Yes,VIP,Winter,None
TXN00000080,2024-11-23 01:13:06,Yolanda Anderson,"Mustard, Toilet Paper, Ground Beef, Tea, Carrots",5,65.5,Credit Card,Houston,Supermarket,No,Occasional,Fall,None
TXN00000081,2025-02-09 15:07:57,Rebecca Colon,"Ground Beef, Flour, Carrots, Beer, Pasta, Cooking Oil, Sausages, Shampoo",8,93.21,Debit Card,Los Angeles,Online,Yes,Premium,Winter,BOGO
TXN00000082,2024-10-01 15:42:08,Anna Walker,"Cooking Oil, Chocolate, Tortillas, Sausages",4,68.93,Cash,Houston,Warehouse Club,Yes,Regular,Fall,Percentage Discount
TXN00000083,2025-11-20 10:55:31,Raymond Powell,"Tortillas, Pet Food",2,21.22,Debit Card,Jacksonville,Online,No,Regular,Fall,None
TXN00000084,2026-02-07 01:15:29,Jose Coleman,"Apples, Bananas, Mustard, Diapers",4,53.07,Mobile Payment,Austin,Supermarket,Yes,Regular,Winter,Seasonal Offer
TXN00000085,2025-07-18 19:07:19,Joseph Wilson,"Beer, Jam, Bottled Water, Cheese, Pet Food, Sausages, Frozen Pizza, Baby Formula",8,123.04,Credit Card,Houston,Department Store,No,Occasional,Summer,None
TXN00000086,2025-06-03 12:24:35,Brian Bright,"Apples, Shampoo, Ketchup, Soap, Baby Formula, Chocolate, Vinegar, Ground Beef, Bottled Water, Cooking Oil",10,151.26,Credit Card,Dallas,Supermarket,No,Regular,Summer,None
TXN00000087,2025-02-20 02:14:21,Joseph Smith,Sugar,1,15.04,Cash,Boston,Convenience Store,Yes,Regular,Winter,BOGO
TXN00000088,2025-04-18 20:43:49,Christopher Simmons,"Honey, Cereal Bars, Vinegar, Tomatoes, Canned Beans",5,68.19,Debit Card,Denver,Online,Yes,Occasional,Spring,None
TXN00000089,2025-05-07 10:30:13,Christine Mendez,"Energy Drink, Sausages, Lettuce, Tortillas, Apples, Onions",6,76.71,Cash,San Antonio,Convenience Store,Yes,Regular,Spring,None
TXN00000090,2025-05-26 12:13:55,Lori Patton,"Canned Soup, Cheese, Ice Cream, Canned Beans",4,43.9,Credit Card,Denver,Online,Yes,Premium,Spring,BOGO
TXN00000091,2026-06-17 05:05:57,Ronald Davis,"Pet Food, Energy Drink, Milk, Sausages",4,31.89,Credit Card,Nashville,Supermarket,Yes,Premium,Summer,Clearance
TXN00000092,2024-09-13 03:30:36,Eugene Patterson,"Tea, Diapers, Apples, Paper Towels",4,50.91,Credit Card,New York,Warehouse Club,No,Regular,Fall,None
TXN00000093,2024-10-21 11:45:02,Jason Thompson,"Shampoo, Chips, Chocolate",3,35.09,Gift Card,Los Angeles,Supermarket,Yes,Regular,Fall,BOGO
TXN00000094,2026-08-14 21:16:01,Steven Scott,"Cheese, Cereal, Chips, Bananas, Laundry Detergent, Bacon, BBQ Sauce, Lettuce, Wine, Onions",10,108.8,Debit Card,Phoenix,Supermarket,No,Regular,Summer,None
TXN00000095,2025-12-26 15:16:41,Donna Frye,"Bananas, Shrimp, Canned Beans, Diapers, Cooking Oil",5,53.31,Credit Card,Jacksonville,Convenience Store,No,Regular,Winter,None
TXN00000096,2026-05-12 03:44:43,Tina Little,"Oranges, Butter, Diapers, Chocolate, Dish Soap, Cookies",6,45.06,Credit Card,Chicago,Department Store,Yes,Regular,Spring,None
TXN00000097,2024-12-18 08:49:37,Heather Wolf,"Soap, Oranges, Shrimp",3,44.02,Debit Card,Atlanta,Online,No,Regular,Winter,None
TXN00000098,2025-04-22 22:48:41,Stephanie Valdez,"Vinegar, Shrimp, Cheese",3,48.25,Mobile Payment,Jacksonville,Convenience Store,Yes,Regular,Spring,None
TXN00000099,2025-04-06 21:35:57,Michael Smith,"Laundry Detergent, BBQ Sauce, Eggs, Honey, Coffee, Shrimp, Jam, Chicken Breast, Carrots",9,76.33,Credit Card,Phoenix,Supermarket,Yes,Regular,Spring,None
TXN00000100,2025-05-05 19:22:11,Joseph Hill,"Shampoo, Yogurt",2,25.16,Credit Card,Jacksonville,Supermarket,No,New,Spring,None
TXN00000101,2025-04-04 07:06:53,Kristy Hart,"Jam, Cereal Bars, Chicken Breast, Soda, Bread, Canned Soup",6,72.43,Mobile Payment,Houston,Supermarket,No,Regular,Spring,None
TXN00000102,2025-11-07 15:08:14,Pamela Watkins,"Olive Oil, Honey, Butter, Cereal, Salsa, Lettuce, Granola, Chips",8,147.16,Debit Card,Nashville,Supermarket,No,VIP,Fall,Percentage Discount
TXN00000103,2026-08-08 23:17:34,Molly Jackson,"Ground Beef, Tomatoes, Cereal, Canned Soup, Flour, Potatoes, Toothpaste, Cereal Bars",8,143.93,Debit Card,Jacksonville,Supermarket,No,New,Summer,None
TXN00000104,2026-02-07 08:54:31,Rebecca Johnson,Cheese,1,22.98,Debit Card,Austin,Supermarket,No,Regular,Winter,None
TXN00000105,2025-10-09 21:31:57,Richard Smith,Baby Formula,1,11.12,Debit Card,Nashville,Supermarket,Yes,New,Fall,None
TXN00000106,2025-11-05 16:27:02,Patrick Adkins,"Tomatoes, Mayonnaise, Pasta, Laundry Detergent, Oranges, Salmon, Shrimp, Bananas",8,97.7,Credit Card,Seattle,Online,Yes,Occasional,Fall,Clearance
TXN00000107,2025-05-26 22:53:47,Lucas Nguyen,Canned Beans,1,23.01,Cash,Denver,Supermarket,No,Premium,Spring,None
TXN00000108,2026-08-05 19:33:12,Stephen Davis,"Wine, Granola, Coffee",3,40.68,Cash,Austin,Convenience Store,No,Premium,Summer,None
TXN00000109,2025-10-15 00:28:45,Heather Allen,"Tortillas, Bacon, Soap, Butter, Chicken Breast, Dish Soap, Salsa, Frozen Pizza, Mustard",9,112.41,Mobile Payment,Portland,Department Store,No,Regular,Fall,None
TXN00000110,2026-06-09 19:10:31,Tina Walter,"Potatoes, Tea, Flour",3,35.83,Mobile Payment,Austin,Supermarket,No,New,Summer,None
TXN00000111,2024-10-18 23:10:12,Kara Roberts,"Canned Soup, Coffee",2,10.69,Credit Card,New York,Supermarket,No,Regular,Fall,None
TXN00000112,2026-07-21 21:38:23,Maria Figueroa,Toilet Paper,1,17.2,Credit Card,San Antonio,Supermarket,Yes,Premium,Summer,Percentage Discount
TXN00000113,2026-06-15 12:07:08,Matthew Watson,Pet Food,1,4.86,Cash,Houston,Supermarket,No,New,Summer,Percentage Discount
TXN00000114,2025-06-21 13:02:09,Eric Taylor,"Tortillas, Potatoes, Sausages, Eggs, Orange Juice, Oranges, Butter, Olive Oil, Shrimp, Canned Soup",10,114.59,Debit Card,Nashville,Warehouse Club,Yes,Occasional,Summer,Percentage Discount
TXN00000115,2025-11-03 15:51:10,Mitchell Sellers,"Cereal Bars, Ground Beef, Frozen Pizza",3,31.24,Credit Card,Chicago,Supermarket,No,New,Fall,Clearance
TXN00000116,2024-10-10 10:45:08,Joseph Lane,"Toilet Paper, Tea, Baby Formula, Potatoes, Vinegar, Chips",6,91.15,Debit Card,Philadelphia,Supermarket,No,Regular,Fall,None
TXN00000117,2025-11-12 19:25:11,Benjamin Sullivan,"Milk, Tomatoes, Toothpaste, Diapers, Olive Oil, Oranges, Beer",7,98.38,Cash,Jacksonville,Convenience Store,No,Occasional,Fall,None
TXN00000118,2026-06-18 09:34:17,Cody Ramirez,"Soda, Chocolate, Granola, Mustard, Jam, Bottled Water",6,48.55,Debit Card,Philadelphia,Supermarket,Yes,Regular,Summer,BOGO
TXN00000119,2026-05-06 00:01:28,David Davis,"Paper Towels, Soda, Tortillas, Pet Food, Cooking Oil, Onions",6,79.15,Credit Card,Denver,Supermarket,No,Occasional,Spring,None
TXN00000120,2026-07-02 08:43:39,Dorothy Boyd,"Pet Food, Peanut Butter, Shampoo, Cookies, Chocolate, Tea, Dish Soap, Chips, BBQ Sauce",9,100.71,Cash,San Jose,Supermarket,Yes,VIP,Summer,None
TXN00000121,2026-04-01 23:42:51,Keith Lloyd,"Bacon, Honey, Toilet Paper, Cookies",4,41.72,Mobile Payment,San Jose,Supermarket,Yes,Regular,Spring,Percentage Discount
TXN00000122,2026-02-07 16:53:00,Michael Rivera,"Olive Oil, Butter, Granola, Potatoes, Sugar",5,43.91,Mobile Payment,Houston,Supermarket,Yes,Premium,Winter,None
TXN00000123,2024-09-24 20:59:20,Matthew Freeman,Cooking Oil,1,15.27,Credit Card,San Diego,Online,Yes,Premium,Fall,Percentage Discount
TXN00000124,2025-06-01 13:22:22,Brenda Smith,"Peanut Butter, Cereal Bars, Chicken Breast, Potatoes",4,33.22,Cash,San Antonio,Online,No,Occasional,Summer,None
TXN00000125,2025-12-02 05:37:48,Ashley Dunn,"Shrimp, Tortillas, Salsa, Cookies, Soap, Sausages, Chips, Apples, Peanut Butter, Bread",10,99.61,Credit Card,Charlotte,Supermarket,Yes,Regular,Winter,None
TXN00000126,2026-05-02 00:58:40,Ann Kennedy,"Tomatoes, Jam, Wine, Baby Formula, Cooking Oil, BBQ Sauce",6,77.69,Credit Card,Seattle,Convenience Store,No,VIP,Spring,None
TXN00000127,2024-09-10 13:36:24,Alyssa Haynes,"Tortillas, Diapers, Soap, Vinegar, Cereal, Chicken Breast, Paper Towels",7,87.78,Debit Card,Portland,Department Store,No,VIP,Fall,None
TXN00000128,2025-01-12 20:51:18,Javier Dorsey,"Chocolate, Sugar",2,22.45,Cash,Columbus,Supermarket,No,Regular,Winter,None
TXN00000129,2024-11-24 21:09:28,Rebecca Zimmerman,"Cooking Oil, Cheese, Paper Towels, Vinegar, Frozen Pizza, Flour, Granola, Rice, Diapers, Cereal Bars",10,133.91,Gift Card,Houston,Convenience Store,No,Occasional,Fall,None
TXN00000130,2025-08-05 01:41:43,Cynthia Martinez,"Soap, Carrots, Cereal Bars, Baby Formula, Pet Food, Rice",6,88.37,Credit Card,Philadelphia,Convenience Store,No,Premium,Summer,None
TXN00000131,2025-04-09 14:13:20,Michael Henry,"Olive Oil, Soap, Cookies",3,31.08,Credit Card,Jacksonville,Warehouse Club,No,New,Spring,None
TXN00000132,2026-03-21 12:49:47,Andrew Williams,"Cereal Bars, Butter, Canned Soup, Shrimp, Cereal, Rice, Olive Oil",7,87.81,Debit Card,Philadelphia,Supermarket,No,VIP,Spring,None
TXN00000133,2026-05-11 08:42:47,Jeffrey Torres,"Paper Towels, Salmon, Eggs, Baby Formula, Pasta, Cereal Bars, Potatoes, Mustard, Cheese",9,84.85,Mobile Payment,Chicago,Warehouse Club,No,Regular,Spring,None
TXN00000134,2025-06-11 12:08:55,Allison Mcpherson DDS,"Toothpaste, Frozen Pizza, Pasta, Butter",4,60.53,Debit Card,Philadelphia,Convenience Store,No,Regular,Summer,None
TXN00000135,2026-08-10 21:53:02,Jill Barajas,"Orange Juice, Bottled Water, Jam, Honey, Pasta, Peanut Butter, Beer, Toothpaste",8,111.01,Debit Card,Columbus,Supermarket,No,Regular,Summer,None
TXN00000136,2025-02-04 05:07:22,Jesus Becker,"Onions, Cereal Bars, Chips, Sugar, Mustard, Ice Cream, Shrimp, Laundry Detergent, BBQ Sauce, Energy Drink",10,146.33,Credit Card,San Jose,Warehouse Club,No,Regular,Winter,None
TXN00000137,2026-03-27 20:00:50,Jeffrey Leon,"Salmon, Chocolate, Oranges, Wine, Shampoo, Soda",6,70.89,Credit Card,Denver,Supermarket,No,Regular,Spring,None
TXN00000138,2025-03-14 12:51:28,Emily Potter,"Salsa, Honey, Milk",3,31.75,Cash,Charlotte,Supermarket,No,Premium,Spring,Clearance
TXN00000139,2025-10-23 11:12:07,Christian Solis,"Energy Drink, Toilet Paper, Sugar",3,22.06,Credit Card,San Diego,Supermarket,No,Regular,Fall,None
TXN00000140,2026-02-01 21:16:18,Alyssa Orr,"Toothpaste, Eggs, Orange Juice",3,56.33,Credit Card,New York,Convenience Store,No,New,Winter,None
